ReleasePackageName,ReleasePackageVersion,ReleaseNumber,ReleaseARCH,ReleaseSizeBytes,ReleaseSourceRPM
default-fonts-am,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
google-noto-sans-georgian-vf-fonts,20240401,5.el10,noarch,58495,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-ka,4.1,3.el10,noarch,348,langpacks-4.1-3.el10.src.rpm
google-noto-sans-gujarati-vf-fonts,20240401,5.el10,noarch,202272,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-gu,4.1,3.el10,noarch,348,langpacks-4.1-3.el10.src.rpm
google-noto-sans-gurmukhi-vf-fonts,20240401,5.el10,noarch,49636,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-pa,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
google-noto-sans-kannada-vf-fonts,20240401,5.el10,noarch,177307,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-kn,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
google-noto-sans-khmer-vf-fonts,20240401,5.el10,noarch,121154,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-km,4.1,3.el10,noarch,342,langpacks-4.1-3.el10.src.rpm
google-noto-sans-lao-vf-fonts,20240401,5.el10,noarch,35648,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-lo,4.1,3.el10,noarch,338,langpacks-4.1-3.el10.src.rpm
google-noto-sans-math-fonts,20240401,5.el10,noarch,967910,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-sans-meetei-mayek-vf-fonts,20240401,5.el10,noarch,30513,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-mni,4.1,3.el10,noarch,349,langpacks-4.1-3.el10.src.rpm
google-noto-sans-ol-chiki-vf-fonts,20240401,5.el10,noarch,26981,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-sat,4.1,3.el10,noarch,347,langpacks-4.1-3.el10.src.rpm
google-noto-sans-oriya-vf-fonts,20240401,5.el10,noarch,204004,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-or,4.1,3.el10,noarch,342,langpacks-4.1-3.el10.src.rpm
google-noto-sans-sinhala-vf-fonts,20240401,5.el10,noarch,363538,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-si,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
google-noto-sans-symbols-2-fonts,20240401,5.el10,noarch,673014,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-sans-symbols-vf-fonts,20240401,5.el10,noarch,241790,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-sans-tamil-vf-fonts,20240401,5.el10,noarch,80238,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-ta,4.1,3.el10,noarch,342,langpacks-4.1-3.el10.src.rpm
google-noto-sans-telugu-vf-fonts,20240401,5.el10,noarch,235180,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-te,4.1,3.el10,noarch,344,langpacks-4.1-3.el10.src.rpm
google-noto-sans-thaana-vf-fonts,20240401,5.el10,noarch,30313,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-dv,4.1,3.el10,noarch,344,langpacks-4.1-3.el10.src.rpm
google-noto-sans-thai-vf-fonts,20240401,5.el10,noarch,33595,google-noto-fonts-20240401-5.el10.src.rpm
default-fonts-th,4.1,3.el10,noarch,340,langpacks-4.1-3.el10.src.rpm
google-noto-serif-armenian-vf-fonts,20240401,5.el10,noarch,34596,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-bengali-vf-fonts,20240401,5.el10,noarch,714278,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-devanagari-vf-fonts,20240401,5.el10,noarch,276536,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-ethiopic-vf-fonts,20240401,5.el10,noarch,431976,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-georgian-vf-fonts,20240401,5.el10,noarch,77368,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-gujarati-vf-fonts,20240401,5.el10,noarch,174368,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-gurmukhi-vf-fonts,20240401,5.el10,noarch,55308,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-hebrew-vf-fonts,20240401,5.el10,noarch,74421,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-kannada-vf-fonts,20240401,5.el10,noarch,237914,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-khmer-vf-fonts,20240401,5.el10,noarch,172039,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-lao-vf-fonts,20240401,5.el10,noarch,45633,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-oriya-vf-fonts,20240401,5.el10,noarch,193563,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-sinhala-vf-fonts,20240401,5.el10,noarch,349797,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-tamil-vf-fonts,20240401,5.el10,noarch,180500,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-telugu-vf-fonts,20240401,5.el10,noarch,336870,google-noto-fonts-20240401-5.el10.src.rpm
google-noto-serif-thai-vf-fonts,20240401,5.el10,noarch,43220,google-noto-fonts-20240401-5.el10.src.rpm
dejavu-sans-mono-fonts,2.37,25.el10,noarch,1283590,dejavu-fonts-2.37-25.el10.src.rpm
google-noto-color-emoji-fonts,20231130,3.el10,noarch,10613187,google-noto-emoji-fonts-20231130-3.el10.src.rpm
google-noto-serif-cjk-vf-fonts,2.002,6.el10,noarch,56835733,google-noto-serif-cjk-vf-fonts-2.002-6.el10.src.rpm
jomolhari-fonts,0.003,43.el10,noarch,2298018,jomolhari-fonts-0.003-43.el10.src.rpm
default-fonts-bo,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
liberation-fonts-common,2.1.5,11.el10,noarch,12495,liberation-fonts-2.1.5-11.el10.src.rpm
liberation-mono-fonts,2.1.5,11.el10,noarch,1205335,liberation-fonts-2.1.5-11.el10.src.rpm
madan-fonts,2.000,40.el10,noarch,252404,madan-fonts-2.000-40.el10.src.rpm
default-fonts-ne,4.1,3.el10,noarch,344,langpacks-4.1-3.el10.src.rpm
paktype-naskh-basic-fonts,6.0,14.el10,noarch,474932,paktype-naskh-basic-fonts-6.0-14.el10.src.rpm
default-fonts-ur,4.1,3.el10,noarch,340,langpacks-4.1-3.el10.src.rpm
rit-meera-new-fonts,1.5.2,6.el10,noarch,188888,rit-meera-new-fonts-1.5.2-6.el10.src.rpm
default-fonts-ml,4.1,3.el10,noarch,350,langpacks-4.1-3.el10.src.rpm
rit-rachana-fonts,1.4.7,5.el10,noarch,1498950,rit-rachana-fonts-1.4.7-5.el10.src.rpm
sil-padauk-fonts,3.003,17.el10,noarch,1647361,sil-padauk-fonts-3.003-17.el10.src.rpm
default-fonts-my,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
stix-fonts,2.13b171,8.el10,noarch,3383607,stix-fonts-2.13b171-8.el10.src.rpm
vazirmatn-vf-fonts,33.003,10.el10,noarch,292503,vazirmatn-fonts-33.003-10.el10.src.rpm
default-fonts-fa,4.1,3.el10,noarch,346,langpacks-4.1-3.el10.src.rpm
yelp-xsl,42.1,7.el10,noarch,1444364,yelp-xsl-42.1-7.el10.src.rpm
rocky-indexhtml,10.0,1.el10,noarch,534151,rocky-indexhtml-10.0-1.el10.src.rpm
poppler-data,0.4.11,9.el10,noarch,12947088,poppler-data-0.4.11-9.el10.src.rpm
liblouis-tables,3.28.0,7.el10,noarch,12135186,liblouis-3.28.0-7.el10.src.rpm
libX11-common,1.8.10,1.el10,noarch,1205206,libX11-1.8.10-1.el10.src.rpm
gawk-all-langpacks,5.3.0,6.el10,x86_64,1746912,gawk-5.3.0-6.el10.src.rpm
catatonit,0.2.1,1.el10,x86_64,704781,catatonit-0.2.1-1.el10.src.rpm
adwaita-cursor-theme,46.0,3.el10,noarch,10513057,adwaita-icon-theme-46.0-3.el10.src.rpm
adobe-mappings-pdf,20190401,9.el10,noarch,4600301,adobe-mappings-pdf-20190401-9.el10.src.rpm
urw-base35-fonts-common,20200910,21.el10,noarch,38280,urw-base35-fonts-20200910-21.el10.src.rpm
basesystem,11,22.el10,noarch,0,basesystem-11-22.el10.src.rpm
publicsuffix-list-dafsa,20240107,5.el10,noarch,69171,publicsuffix-list-20240107-5.el10.src.rpm
pkgconf-m4,2.1.0,3.el10,noarch,14252,pkgconf-2.1.0-3.el10.src.rpm
bash,5.2.26,6.el10,x86_64,8542584,bash-5.2.26-6.el10.src.rpm
popt,1.19,8.el10,x86_64,140130,popt-1.19-8.el10.src.rpm
libzstd,1.5.5,9.el10,x86_64,749302,zstd-1.5.5-9.el10.src.rpm
xz-libs,5.6.2,4.el10_0,x86_64,219435,xz-5.6.2-4.el10_0.src.rpm
libjpeg-turbo,3.0.2,4.el10,x86_64,869267,libjpeg-turbo-3.0.2-4.el10.src.rpm
pcre2,10.44,1.el10.3,x86_64,681418,pcre2-10.44-1.el10.3.src.rpm
bzip2-libs,1.0.8,25.el10,x86_64,81060,bzip2-1.0.8-25.el10.src.rpm
libxcrypt,4.4.36,10.el10,x86_64,273229,libxcrypt-4.4.36-10.el10.src.rpm
readline,8.2,11.el10,x86_64,500877,readline-8.2-11.el10.src.rpm
grep,3.11,10.el10,x86_64,1038114,grep-3.11-10.el10.src.rpm
keyutils-libs,1.6.3,5.el10,x86_64,55667,keyutils-1.6.3-5.el10.src.rpm
libcap-ng,0.8.4,6.el10,x86_64,74899,libcap-ng-0.8.4-6.el10.src.rpm
libicu,74.2,5.el10_0,x86_64,36659431,icu-74.2-5.el10_0.src.rpm
libunistring,1.1,10.el10,x86_64,1812853,libunistring-1.1-10.el10.src.rpm
alternatives,1.30,2.el10,x86_64,67913,chkconfig-1.30-2.el10.src.rpm
lcms2,2.16,6.el10,x86_64,434995,lcms2-2.16-6.el10.src.rpm
libxkbcommon,1.7.0,4.el10,x86_64,348498,libxkbcommon-1.7.0-4.el10.src.rpm
jansson,2.14,3.el10,x86_64,91245,jansson-2.14-3.el10.src.rpm
libgpg-error,1.50,2.el10,x86_64,906764,libgpg-error-1.50-2.el10.src.rpm
fribidi,1.0.14,4.el10,x86_64,376402,fribidi-1.0.14-4.el10.src.rpm
hicolor-icon-theme,0.17,20.el10,noarch,73932,hicolor-icon-theme-0.17-20.el10.src.rpm
fuse3-libs,3.16.2,5.el10,x86_64,292332,fuse3-3.16.2-5.el10.src.rpm
json-c,0.18,3.el10,x86_64,84530,json-c-0.18-3.el10.src.rpm
libX11-xcb,1.8.10,1.el10,x86_64,15276,libX11-1.8.10-1.el10.src.rpm
libidn2,2.3.7,3.el10,x86_64,336954,libidn2-2.3.7-3.el10.src.rpm
libmnl,1.0.5,7.el10,x86_64,56475,libmnl-1.0.5-7.el10.src.rpm
libattr,2.5.2,5.el10,x86_64,29173,attr-2.5.2-5.el10.src.rpm
libbasicobjects,0.1.1,58.el10,x86_64,58548,ding-libs-0.6.2-58.el10.src.rpm
libcollection,0.7.0,58.el10,x86_64,100992,ding-libs-0.6.2-58.el10.src.rpm
